Calendar Year,ACARA SML ID,Location AGE ID,School AGE ID,School Name,Suburb,State,Postcode,School Sector,School Type,Campus Type,Rolled Reporting Description,School URL,Governing Body,Governing Body URL,Year Range,Geolocation,ICSEA,ICSEA Percentile,Bottom SEA Quarter (%),Lower Middle SEA Quarter (%),Upper Middle SEA Quarter (%),Top SEA Quarter (%),Teaching Staff,Full Time Equivalent Teaching Staff,Non-Teaching Staff,Full Time Equivalent Non-Teaching Staff,Total Enrolments,Girls Enrolments,Boys Enrolments,Full Time Equivalent Enrolments,Indigenous Enrolments (%),Language Background Other Than English - Yes (%),Language Background Other Than English - No (%),Language Background Other Than English - Not Stated (%)
2022,40000,40003,3,Corpus Christi Catholic School,Bellerive,TAS,7018,Catholic,Primary,School Single Entity,Individual Reporting,http://www.corpuschristi.tas.edu.au,Catholic Education Tasmania,https://www.catholic.tas.edu.au/,Prep-6,Inner Regional,1060,72,12,29,32,27,29,23,20,13.7,407,182,225,406.6,4,7,93,0
2022,40001,40004,4,Fahan School,Sandy Bay,TAS,7005,Independent,Combined,School Single Entity,Individual Reporting,http://www.fahan.tas.edu.au,Independent Schools Tasmania,https://www.independentschools.tas.edu.au/,Prep-12,Inner Regional,1151,95,2,9,27,61,47,38.7,30,21.4,399,398,1,399,2,14,86,0
2022,40002,40005,5,Geneva Christian College,Latrobe,TAS,7307,Independent,Combined,School Single Entity,Individual Reporting,http://www.geneva.tas.edu.au,Independent Schools Tasmania,https://www.independentschools.tas.edu.au/,Prep-12,Outer Regional,1008,50,28,32,27,13,29,20.6,50,31.9,281,137,144,281,6,3,97,0
2022,40003,40007,7,Holy Rosary Catholic School,Claremont,TAS,7011,Catholic,Primary,School Single Entity,Individual Reporting,http://www.holyrosary.tas.edu.au,Catholic Education Tasmania,https://www.catholic.tas.edu.au/,Prep-6,Inner Regional,994,44,31,39,22,8,27,23.5,24,13.1,389,189,200,389,6,3,97,0
2022,40004,40009,9,Immaculate Heart of Mary Catholic School,Lenah Valley,TAS,7008,Catholic,Primary,School Single Entity,Individual Reporting,http://www.ihms.tas.edu.au,Catholic Education Tasmania,https://www.catholic.tas.edu.au/,Prep-6,Inner Regional,1025,58,24,30,22,23,18,13.1,16,8.7,211,105,106,211,7,16,84,0
2022,40005,40010,10,John Calvin School,Launceston,TAS,7250,Independent,Combined,School Single Entity,Individual Reporting,http://www.jcs.tas.edu.au,Independent Schools Tasmania,https://www.independentschools.tas.edu.au/,Prep-10,Inner Regional,1069,75,11,27,34,27,12,9.7,10,4.2,114,52,62,114,0,0,100,0
2022,40006,40011,11,Larmenier Catholic School,St Leonards,TAS,7250,Catholic,Primary,School Single Entity,Individual Reporting,https://www.larmenier.tas.edu.au/,Catholic Education Tasmania,https://www.catholic.tas.edu.au/,Prep-6,Inner Regional,1019,55,24,32,30,15,18,12.6,15,6.4,186,94,92,186,5,9,91,0
2022,40007,40012,12,Launceston Church Grammar School,Mowbray,TAS,7248,Independent,Combined,School Head Campus,Rolled Reporting,http://www.lcgs.tas.edu.au,Independent Schools Tasmania,https://www.independentschools.tas.edu.au/,Prep-12,Inner Regional,1106,86,6,19,32,43,85,73.2,55,43,754,356,398,748.4,2,9,62,28
2022,40008,40013,13,St James Catholic College,Cygnet,TAS,7112,Catholic,Combined,School Single Entity,Individual Reporting,http://www.sjcc.tas.edu.au,Catholic Education Tasmania,https://www.catholic.tas.edu.au/,Prep-10,Outer Regional,892,9,53,27,15,6,30,22.9,20,12.3,230,119,111,229.7,42,1,99,0
2022,40009,40018,18,Our Lady of Lourdes Catholic School,Devonport,TAS,7310,Catholic,Primary,School Single Entity,Individual Reporting,http://www.ololshills.catholic.edu.au/,Catholic Education Tasmania,https://www.catholic.tas.edu.au/,Prep-6,Inner Regional,1012,52,27,31,24,18,31,24.4,29,14.5,399,193,206,398.2,9,6,94,0
2022,40010,40019,19,Our Lady of Mercy Catholic School,Deloraine,TAS,7304,Catholic,Primary,School Single Entity,Individual Reporting,http://www.olom.tas.edu.au,Catholic Education Tasmania,https://www.catholic.tas.edu.au/,Prep-6,Outer Regional,978,37,37,31,21,11,15,10.1,11,5.6,93,46,47,93,13,2,98,0
2022,40011,40022,22,Sacred Heart Catholic School,Ulverstone,TAS,7315,Catholic,Primary,School Single Entity,Individual Reporting,http://www.shu.tas.edu.au,Catholic Education Tasmania,https://www.catholic.tas.edu.au/,Prep-6,Outer Regional,1014,53,24,30,26,20,24,15.8,20,9.4,220,109,111,219.8,14,1,99,0
2022,40012,40023,23,Sacred Heart Catholic School,Geeveston,TAS,7116,Catholic,Primary,School Single Entity,Individual Reporting,http://www.shg.tas.edu.au,Catholic Education Tasmania,https://www.catholic.tas.edu.au/,Prep-6,Outer Regional,938,21,42,30,18,11,18,12.8,19,10.3,151,78,73,150.2,32,3,97,0
2022,40014,40026,26,St Anthony's Catholic School,Riverside,TAS,7250,Catholic,Primary,School Single Entity,Individual Reporting,http://www.stanthonys.tas.edu.au,Catholic Education Tasmania,https://www.catholic.tas.edu.au/,Prep-6,Inner Regional,1020,56,18,35,29,18,16,12.1,11,6.3,164,73,91,163.9,4,12,88,0
2022,40015,40027,27,St Peter Chanel Catholic School,Smithton,TAS,7330,Catholic,Primary,School Single Entity,Individual Reporting,http://stpeterchanel.tas.edu.au,Catholic Education Tasmania,https://www.catholic.tas.edu.au/,Prep-6,Outer Regional,865,6,63,29,7,1,14,10.2,19,10.7,121,49,72,121,45,0,100,0
2022,40016,40029,29,St Brigid's Catholic School,New Norfolk,TAS,7140,Catholic,Primary,School Single Entity,Individual Reporting,http://www.stbrigidsnn.tas.edu.au,Catholic Education Tasmania,https://www.catholic.tas.edu.au/,Prep-6,Inner Regional,963,30,45,30,17,8,16,13.5,14,8.7,196,93,103,195.5,15,1,99,0
2022,40017,40030,30,St Brigid's Catholic School,Wynyard,TAS,7325,Catholic,Primary,School Single Entity,Individual Reporting,http://www.sbw.tas.edu.au,Catholic Education Tasmania,https://www.catholic.tas.edu.au/,Prep-6,Outer Regional,965,30,36,33,19,12,14,12.2,18,10.1,153,76,77,153,24,0,100,0
2022,40018,40031,31,St Cuthbert's Catholic School,Lindisfarne,TAS,7015,Catholic,Primary,School Single Entity,Individual Reporting,http://www.stcuthberts.tas.edu.au,Catholic Education Tasmania,https://www.catholic.tas.edu.au/,Prep-6,Inner Regional,1043,66,19,29,28,24,22,15.3,23,10,214,89,125,214,5,13,87,0
2022,40019,40036,36,St John's Catholic School,Richmond,TAS,7025,Catholic,Primary,School Single Entity,Individual Reporting,http://www.stjohns.tas.edu.au,Catholic Education Tasmania,https://www.catholic.tas.edu.au/,Prep-6,Inner Regional,1007,50,28,35,25,12,21,19.2,19,12.1,297,129,168,297,5,2,98,0
2022,40020,40038,38,St Joseph's Catholic School,Rosebery,TAS,7470,Catholic,Primary,School Single Entity,Individual Reporting,http://www.stjosephsr.tas.edu.au,Catholic Education Tasmania,https://www.catholic.tas.edu.au/,Prep-6,Remote,926,17,57,28,10,5,10,7.6,7,3.6,40,19,21,40,8,8,92,0
2022,40021,40039,39,St Joseph's Catholic School,Queenstown,TAS,7467,Catholic,Primary,School Single Entity,Individual Reporting,http://www.stjosephsq.tas.edu.au,Catholic Education Tasmania,https://www.catholic.tas.edu.au/,Prep-6,Remote,918,14,61,23,11,4,13,8.6,11,5.9,74,32,42,74,11,1,99,0
2022,40022,40040,40,St Mary's College,Hobart,TAS,7000,Catholic,Combined,School Single Entity,Individual Reporting,http://www.smc.tas.edu.au,Catholic Education Tasmania,https://www.catholic.tas.edu.au/,Prep-12,Inner Regional,1063,74,12,27,32,29,89,67.7,65,46.9,877,844,33,877,4,8,92,0
2022,40023,40045,45,St Patrick's Catholic School,Latrobe,TAS,7307,Catholic,Primary,School Single Entity,Individual Reporting,http://www.stpatslatrobe.tas.edu.au,Catholic Education Tasmania,https://www.catholic.tas.edu.au/,Prep-6,Inner Regional,1014,53,29,30,21,20,21,13.1,14,8.2,169,75,94,169,7,8,92,0
2022,40024,40047,47,St Therese's Catholic School,Moonah,TAS,7009,Catholic,Primary,School Single Entity,Individual Reporting,http://www.sttherese.tas.edu.au,Catholic Education Tasmania,https://www.catholic.tas.edu.au/,Prep-6,Inner Regional,1018,55,23,33,29,14,19,13.8,18,9.1,203,108,95,203,5,7,93,0
2022,40025,40055,55,Hilliard Christian School,West Moonah,TAS,7009,Independent,Combined,School Single Entity,Individual Reporting,https://www.hilliardchristianschool.com.au/,Independent Schools Tasmania,https://www.independentschools.tas.edu.au/,Prep-10,Inner Regional,1020,56,28,25,26,20,23,20.3,15,10.3,226,109,117,225.2,1,56,31,13
2022,40026,40056,56,Star of the Sea Catholic College,George Town,TAS,7253,Catholic,Combined,School Single Entity,Individual Reporting,http://www.starsea.tas.edu.au/,Catholic Education Tasmania,https://www.catholic.tas.edu.au/,Prep-10,Outer Regional,951,25,54,25,15,5,21,17.8,21,11,170,85,85,169.2,6,1,99,0
2022,40027,40058,58,Stella Maris Catholic School,Burnie,TAS,7320,Catholic,Primary,School Single Entity,Individual Reporting,http://stellamaris.tas.edu.au,Catholic Education Tasmania,https://www.catholic.tas.edu.au/,Prep-6,Outer Regional,1025,58,23,29,26,22,25,20.2,23,12.6,378,187,191,377.8,10,6,94,0
2022,40028,40059,59,The Friends' School,North Hobart,TAS,7000,Independent,Combined,School Head Campus,Rolled Reporting,http://www.friends.tas.edu.au,Independent Schools Tasmania,https://www.independentschools.tas.edu.au/,Prep-12,Inner Regional,1152,95,3,10,25,63,152,120.9,98,72.9,1216,593,623,1216,1,8,92,0
