parliament_number,member_id,member_display_name,raw_school_text,source_url,is_international,suggested_action,notes
48,aph-11788,"ALDRED, Mary",MLC,https://handbookapi.aph.gov.au/api/individuals?$filter=PHID eq '11788',False,Lookup in ACARA historical register,Provisional institution ID: inst-unmatched-mlc
46,aph-m3m,"ALEXANDER, John Gilbert, OAM",Narrabeen Boys High School,https://handbookapi.aph.gov.au/api/individuals?$filter=PHID eq 'M3M',False,Lookup in ACARA historical register,Provisional institution ID: inst-unmatched-narrabeen-boys-high-school
46,aph-282986,"ALLEN, Dr Katrina (Katie) Jane AO",Melbourne Girls Grammar School,https://handbookapi.aph.gov.au/api/individuals?$filter=PHID eq '282986',False,Lookup in ACARA historical register,Provisional institution ID: inst-unmatched-melbourne-girls-grammar-school
48,aph-13050,"ALY, the Hon. Dr Anne",Meriden Girls School,https://handbookapi.aph.gov.au/api/individuals?$filter=PHID eq '13050',False,Lookup in ACARA historical register,Provisional institution ID: inst-unmatched-meriden-girls-school
46,aph-13050,"ALY, the Hon. Dr Anne",Meriden Girls School,https://handbookapi.aph.gov.au/api/individuals?$filter=PHID eq '13050',False,Lookup in ACARA historical register,Provisional institution ID: inst-unmatched-meriden-girls-school
47,aph-13050,"ALY, the Hon. Dr Anne",Meriden Girls School,https://handbookapi.aph.gov.au/api/individuals?$filter=PHID eq '13050',False,Lookup in ACARA historical register,Provisional institution ID: inst-unmatched-meriden-girls-school
48,aph-315618,"AMBIHAIPAHAR, Ashvini (Ash)",Danebank Anglican Girls School,https://handbookapi.aph.gov.au/api/individuals?$filter=PHID eq '315618',False,Lookup in ACARA historical register,Provisional institution ID: inst-unmatched-danebank-anglican-girls-school
48,aph-269375,"ANTIC, Alexander (Alex) Charles",Pembroke,https://handbookapi.aph.gov.au/api/individuals?$filter=PHID eq '269375',False,Lookup in ACARA historical register,Provisional institution ID: inst-unmatched-pembroke
46,aph-269375,"ANTIC, Alexander (Alex) Charles",Pembroke,https://handbookapi.aph.gov.au/api/individuals?$filter=PHID eq '269375',False,Lookup in ACARA historical register,Provisional institution ID: inst-unmatched-pembroke
47,aph-269375,"ANTIC, Alexander (Alex) Charles",Pembroke,https://handbookapi.aph.gov.au/api/individuals?$filter=PHID eq '269375',False,Lookup in ACARA historical register,Provisional institution ID: inst-unmatched-pembroke
46,aph-m3c,"BANDT, Dr Adam Paul",Hollywood High School,https://handbookapi.aph.gov.au/api/individuals?$filter=PHID eq 'M3C',False,Lookup in ACARA historical register,Provisional institution ID: inst-unmatched-hollywood-high-school
47,aph-m3c,"BANDT, Dr Adam Paul",Hollywood High School,https://handbookapi.aph.gov.au/api/individuals?$filter=PHID eq 'M3C',False,Lookup in ACARA historical register,Provisional institution ID: inst-unmatched-hollywood-high-school
48,aph-282981,"BELL, Angie Marion",Gawler High School,https://handbookapi.aph.gov.au/api/individuals?$filter=PHID eq '282981',False,Lookup in ACARA historical register,Provisional institution ID: inst-unmatched-gawler-high-school
46,aph-282981,"BELL, Angie Marion",Gawler High School,https://handbookapi.aph.gov.au/api/individuals?$filter=PHID eq '282981',False,Lookup in ACARA historical register,Provisional institution ID: inst-unmatched-gawler-high-school
47,aph-282981,"BELL, Angie Marion",Gawler High School,https://handbookapi.aph.gov.au/api/individuals?$filter=PHID eq '282981',False,Lookup in ACARA historical register,Provisional institution ID: inst-unmatched-gawler-high-school
48,aph-319142,"BELL, Sean Fredrick",St Joseph's College Gregory Terrace,https://handbookapi.aph.gov.au/api/individuals?$filter=PHID eq '319142',False,Lookup in ACARA historical register,Provisional institution ID: inst-unmatched-st-joseph-s-college-gregory-terrace
48,aph-309484,"BELYEA, Jodie Anne",Kilbreda Girls College,https://handbookapi.aph.gov.au/api/individuals?$filter=PHID eq '309484',False,Lookup in ACARA historical register,Provisional institution ID: inst-unmatched-kilbreda-girls-college
47,aph-309484,"BELYEA, Jodie Anne",Kilbreda Girls College,https://handbookapi.aph.gov.au/api/individuals?$filter=PHID eq '309484',False,Lookup in ACARA historical register,Provisional institution ID: inst-unmatched-kilbreda-girls-college
46,aph-hzb,"BILYK, Catryna Louise",Ogilvie High School,https://handbookapi.aph.gov.au/api/individuals?$filter=PHID eq 'HZB',False,Lookup in ACARA historical register,Provisional institution ID: inst-unmatched-ogilvie-high-school
47,aph-hzb,"BILYK, Catryna Louise",Ogilvie High School,https://handbookapi.aph.gov.au/api/individuals?$filter=PHID eq 'HZB',False,Lookup in ACARA historical register,Provisional institution ID: inst-unmatched-ogilvie-high-school
46,aph-hzb,"BILYK, Catryna Louise",Hobart Matriculation College,https://handbookapi.aph.gov.au/api/individuals?$filter=PHID eq 'HZB',False,Lookup in ACARA historical register,Provisional institution ID: inst-unmatched-hobart-matriculation-college
47,aph-hzb,"BILYK, Catryna Louise",Hobart Matriculation College,https://handbookapi.aph.gov.au/api/individuals?$filter=PHID eq 'HZB',False,Lookup in ACARA historical register,Provisional institution ID: inst-unmatched-hobart-matriculation-college
46,aph-h6x,"BIRMINGHAM, the Hon. Simon John",Gawler High School,https://handbookapi.aph.gov.au/api/individuals?$filter=PHID eq 'H6X',False,Lookup in ACARA historical register,Provisional institution ID: inst-unmatched-gawler-high-school
