member_id,aph_id,display_name,wikidata_id,field,aph_value,wikidata_value,wikipedia_title,source_url,status,notes,historical_value,historical_source,review_status,resolved_value,manual_source_url,review_notes
aph-122087,122087,"McCARTHY, the Hon. Malarndirri Barbara Anne",Q6741359,date_of_birth,,1970-04-19,Malarndirri McCarthy,https://en.wikipedia.org/wiki/Malarndirri_McCarthy,supplemental_available,Date of birth present in Wikidata but missing in APH record,,,accepted,19/04/1970,,
aph-129164,129164,"MITCHELL, Brian Keith",Q26695681,date_of_birth,,1967-07-16,Brian Mitchell (politician),https://en.wikipedia.org/wiki/Brian_Mitchell_(politician),supplemental_available,Date of birth present in Wikidata but missing in APH record,,,accepted,16/07/1967,,
aph-157125,157125,"ROBERTS, Tracey",Q109850050,date_of_birth,,1961-11-23,Tracey Roberts (politician),https://en.wikipedia.org/wiki/Tracey_Roberts_(politician),supplemental_available,Date of birth present in Wikidata but missing in APH record,,,accepted,23/11/1961,,
aph-192970,192970,"WATERS, Larissa Joy",Q6489515,date_of_birth,1977-02-08,1977-02-09,Larissa Waters,https://en.wikipedia.org/wiki/Larissa_Waters,discrepancy,Date of birth discrepancy between APH and Wikidata,8/02/1977,APH Parliamentary Handbook,rejected,8/02/1977,https://simple.wikipedia.org/wiki/Larissa_Waters,Checked
aph-224102,224102,"WHITE, the Hon Rebecca Peta",Q7301966,date_of_birth,,1983-02-04,Rebecca White,https://en.wikipedia.org/wiki/Rebecca_White,supplemental_available,Date of birth present in Wikidata but missing in APH record,,,accepted,4/02/1983,,
aph-257613,257613,"GHOSH, Varun",Q124172491,date_of_birth,,1985-08-30,Varun Ghosh,https://en.wikipedia.org/wiki/Varun_Ghosh,supplemental_available,Date of birth present in Wikidata but missing in APH record,,,accepted,30/08/1985,,
aph-263528,263528,"NAMPIJINPA PRICE, Jacinta",Q106869875,date_of_birth,,1981-01-01,Jacinta Nampijinpa Price,https://en.wikipedia.org/wiki/Jacinta_Nampijinpa_Price,supplemental_available,Date of birth present in Wikidata but missing in APH record,,,rejected,12/05/1981,,
aph-265980,265980,"SHARKIE, Rebekha Carina Che",Q25324881,date_of_birth,,1972-08-24,Rebekha Sharkie,https://en.wikipedia.org/wiki/Rebekha_Sharkie,supplemental_available,Date of birth present in Wikidata but missing in APH record,,,accepted,24/08/1972,,
aph-267506,267506,"KENNEDY, Simon Peter",Q125465629,date_of_birth,,1982-04-06,Simon Kennedy,https://en.wikipedia.org/wiki/Simon_Kennedy,supplemental_available,Date of birth present in Wikidata but missing in APH record,,,rejected,4/06/1982,,Month and day mix up
aph-269375,269375,"ANTIC, Alexander (Alex) Charles",Q63520981,date_of_birth,1974-12-17,1974-12-22,Alex Antic,https://en.wikipedia.org/wiki/Alex_Antic,discrepancy,Date of birth discrepancy between APH and Wikidata,17/12/1974,APH Parliamentary Handbook,rejected,17/12/1974,,
aph-270198,270198,"FRANCE, Ali",Q134309102,date_of_birth,,1973-05-13,Ali France,https://en.wikipedia.org/wiki/Ali_France,supplemental_available,Date of birth present in Wikidata but missing in APH record,,,accepted,,,
aph-274506,274506,"SHARMA, Devanand (Dave) Noel",Q15999973,date_of_birth,,1975-12-21,Dave Sharma,https://en.wikipedia.org/wiki/Dave_Sharma,supplemental_available,Date of birth present in Wikidata but missing in APH record,,,accepted,,,
aph-280304,280304,"THORPE, Lidia Alma",Q43285578,date_of_birth,,1973-08-18,Lidia Thorpe,https://en.wikipedia.org/wiki/Lidia_Thorpe,supplemental_available,Date of birth present in Wikidata but missing in APH record,,,accepted,,,
aph-295588,295588,"GARLAND, Dr Carina Mary Lindsay",Q112108318,date_of_birth,,1982-01-01,Carina Garland,https://en.wikipedia.org/wiki/Carina_Garland,supplemental_available,Date of birth present in Wikidata but missing in APH record,,,accepted,,,
aph-298574,298574,"JARRETT, Madonna",Q134312729,date_of_birth,,1966-03-29,Madonna Jarrett,https://en.wikipedia.org/wiki/Madonna_Jarrett,supplemental_available,Date of birth present in Wikidata but missing in APH record,,,accepted,,,
aph-298618,298618,"SOON, Zhi",Q134309521,date_of_birth,,1985-12-04,Zhi Soon,https://en.wikipedia.org/wiki/Zhi_Soon,supplemental_available,Date of birth present in Wikidata but missing in APH record,,,accepted,,,
aph-298840,298840,"REPACHOLI, Dan",Q5218565,date_of_birth,1982-12-15,1982-05-15,Dan Repacholi,https://en.wikipedia.org/wiki/Dan_Repacholi,discrepancy,Date of birth discrepancy between APH and Wikidata,15/12/1982,APH Parliamentary Handbook,accepted,15/05/1982,,
aph-300122,300122,"RAE, the Hon. Samuel (Sam) Thomas",Q112131017,date_of_birth,1986-09-29,1986-09-26,Sam Rae,https://en.wikipedia.org/wiki/Sam_Rae,discrepancy,Date of birth discrepancy between APH and Wikidata,29/09/1986,APH Parliamentary Handbook,accepted,26/09/1986,,
aph-300707,300707,"PAYMAN, Fatima",Q112152550,date_of_birth,,1995-01-01,Fatima Payman,https://en.wikipedia.org/wiki/Fatima_Payman,supplemental_available,Date of birth present in Wikidata but missing in APH record,,,accepted,,,
aph-306168,306168,"KOVACIC, Maria",Q118750056,date_of_birth,,1970-01-01,Maria Kovacic,https://en.wikipedia.org/wiki/Maria_Kovacic,supplemental_available,Date of birth present in Wikidata but missing in APH record,,,accepted,,,
aph-309484,309484,"BELYEA, Jodie Anne",Q124714701,date_of_birth,,1967-06-29,Jodie Belyea,https://en.wikipedia.org/wiki/Jodie_Belyea,supplemental_available,Date of birth present in Wikidata but missing in APH record,,,accepted,,,
aph-312393,312393,"SMITH, Matt",Q134386290,date_of_birth,,1979-11-30,Matt Smith (Queensland politician),https://en.wikipedia.org/wiki/Matt_Smith_(Queensland_politician),supplemental_available,Date of birth present in Wikidata but missing in APH record,,,accepted,,,
aph-312823,312823,"CAMPBELL, Julie-Ann",Q56715711,date_of_birth,,1986-08-14,Julie-Ann Campbell,https://en.wikipedia.org/wiki/Julie-Ann_Campbell,supplemental_available,Date of birth present in Wikidata but missing in APH record,,,accepted,,,
aph-312871,312871,"COOK, Dr Patricia (Trish)",Q131459904,date_of_birth,1964-01-06,1964-06-01,Trish Cook,https://en.wikipedia.org/wiki/Trish_Cook,discrepancy,Date of birth discrepancy between APH and Wikidata,6/01/1964,APH Parliamentary Handbook,accepted,1/06/1964,,
aph-316550,316550,"FRENCH, Tom",Q134349318,date_of_birth,,1983-06-21,Tom French (Australian politician),https://en.wikipedia.org/wiki/Tom_French_(Australian_politician),supplemental_available,Date of birth present in Wikidata but missing in APH record,,,accepted,,,
aph-316915,316915,"ABDO, Basem",Q134311976,date_of_birth,,1987-06-03,Basem Abdo,https://en.wikipedia.org/wiki/Basem_Abdo,supplemental_available,Date of birth present in Wikidata but missing in APH record,,,accepted,,,
aph-317036,317036,"STACEY, Warwick",Q134610777,date_of_birth,,1952-11-19,Warwick Stacey,https://en.wikipedia.org/wiki/Warwick_Stacey,supplemental_available,Date of birth present in Wikidata but missing in APH record,,,accepted,,,
aph-86256,86256,"HILL, the Hon. Julian Christopher",Q27435059,date_of_birth,,1973-06-04,Julian Hill (politician),https://en.wikipedia.org/wiki/Julian_Hill_(politician),supplemental_available,Date of birth present in Wikidata but missing in APH record,,,accepted,,,
aph-88411,88411,"HOLZBERGER, Rowan",Q134310433,date_of_birth,,1973-01-08,Rowan Holzberger,https://en.wikipedia.org/wiki/Rowan_Holzberger,supplemental_available,Date of birth present in Wikidata but missing in APH record,,,accepted,,,
aph-e5d,E5D,"JOYCE, the Hon. Barnaby Thomas Gerard",Q4861362,date_of_birth,,1967-04-17,Barnaby Joyce,https://en.wikipedia.org/wiki/Barnaby_Joyce,supplemental_available,Date of birth present in Wikidata but missing in APH record,,,accepted,,,
aph-ij4,IJ4,"SNOWDON, the Hon. Warren Edward",Q7970485,date_of_birth,1950-03-20,1950-03-30,Warren Snowdon,https://en.wikipedia.org/wiki/Warren_Snowdon,discrepancy,Date of birth discrepancy between APH and Wikidata,20/03/1950,APH Parliamentary Handbook,rejected,20/03/1950,,
aph-ing,ING,"GALLAGHER, the Hon. Katherine (Katy) Ruth",Q463507,date_of_birth,1970-03-18,1970-03-17,Katy Gallagher,https://en.wikipedia.org/wiki/Katy_Gallagher,discrepancy,Date of birth discrepancy between APH and Wikidata,18/03/1970,APH Parliamentary Handbook,rejected,18/03/1970,,
aph-iwk,IWK,"WHITE, Linda",Q111992524,date_of_birth,,1959-01-01,Linda White (politician),https://en.wikipedia.org/wiki/Linda_White_(politician),supplemental_available,Date of birth present in Wikidata but missing in APH record,,,accepted,,,
aph-zn4,ZN4,"HENDERSON, the Hon. Sarah Moya",Q7422387,date_of_birth,,1964-04-04,Sarah Henderson,https://en.wikipedia.org/wiki/Sarah_Henderson,supplemental_available,Date of birth present in Wikidata but missing in APH record,,,accepted,,,
