institution_id,raw_school_text,suggested_institution_name,wikidata_id,wikipedia_url,country,locality,latitude,longitude,institution_type,confidence,notes,historical_match_name,historical_acara_id,historical_source,review_status,resolved_school_name,resolved_acara_id,resolved_wikidata_id,resolved_country,resolved_state,resolved_suburb,resolved_postcode,resolved_address,resolved_latitude,resolved_longitude,manual_source_url,address_source_url,review_notes
inst-unmatched-academy-of-mary-immaculate-fitzroy,Academy of Mary Immaculate Fitzroy,Academy of Mary Immaculate,Q14935056,https://en.wikipedia.org/wiki/Academy_of_Mary_Immaculate,Australia,Victoria,-37.80396389,144.97384722,high school,suggested,Derived from Wikipedia/Wikidata page Academy of Mary Immaculate (Q14935056),Academy of Mary Immaculate,45704,data/reference/school_aliases.json,pending,,,,,,,,,,,,,
inst-unmatched-assumption-college-kilmore,Assumption College Kilmore,"Assumption College, Kilmore",Q4810345,https://en.wikipedia.org/wiki/Assumption_College%2C_Kilmore,,,-37.30055556,144.94305556,,suggested,"Derived from Wikipedia/Wikidata page Assumption College, Kilmore (Q4810345)",Assumption College,45647,data/reference/school_aliases.json,pending,,,,,,,,,,,,,
inst-unmatched-australian-islamic-college-dianella-and-,"Australian Islamic College, Dianella and Kewdale",Australian Islamic College,Q4824341,https://en.wikipedia.org/wiki/Australian_Islamic_College,Australia,City of Gosnells,-31.9806,115.9327,nonprofit organization,suggested,Derived from Wikipedia/Wikidata page Australian Islamic College (Q4824341),North Perth Primary School,48483,data/reference/school_aliases.json,pending,,,,,,,,,,,,,
inst-unmatched-banksia-park-high-school,Banksia Park High School,Banksia Park International High School,Q4856538,https://en.wikipedia.org/wiki/Banksia_Park_International_High_School,Australia,South Australia,-34.815,138.7265,high school,suggested,Derived from Wikipedia/Wikidata page Banksia Park International High School (Q4856538),SA School and Services for Vision Impaired,49568,data/reference/school_aliases.json,pending,,,,,,,,,,,,,
inst-unmatched-cardijn-college,Cardijn College,Cardijn College,Q5038517,https://en.wikipedia.org/wiki/Cardijn_College,Australia,South Australia,,,school,suggested,Derived from Wikipedia/Wikidata page Cardijn College (Q5038517),,,,pending,,,,,,,,,,,,,
inst-unmatched-carey-grammar-school,Carey Grammar School,Carey Baptist Grammar School,Q5039160,https://en.wikipedia.org/wiki/Carey_Baptist_Grammar_School,Australia,Victoria,-37.81472222,145.0475,high school,suggested,Derived from Wikipedia/Wikidata page Carey Baptist Grammar School (Q5039160),Mother of God School,45902,data/reference/school_aliases.json,pending,,,,,,,,,,,,,
inst-unmatched-centenary-heights-high-school,Centenary Heights High School,Centenary Heights State High School,Q5059079,https://en.wikipedia.org/wiki/Centenary_Heights_State_High_School,Australia,Queensland,-27.58052222,151.96390278,public school,suggested,Derived from Wikipedia/Wikidata page Centenary Heights State High School (Q5059079),Kirwan State High School,47525,data/reference/school_aliases.json,pending,,,,,,,,,,,,,
inst-unmatched-church-of-england-grammar-school,Church of England Grammar School,Anglican Church Grammar School,Q4763439,https://en.wikipedia.org/wiki/Anglican_Church_Grammar_School,Australia,Queensland,-27.48194444,153.05388889,primary school,suggested,Derived from Wikipedia/Wikidata page Anglican Church Grammar School (Q4763439),,,,pending,,,,,,,,,,,,,
inst-unmatched-clairvaux-mackillop-school,Clairvaux Mackillop School,Clairvaux MacKillop College,Q5125395,https://en.wikipedia.org/wiki/Clairvaux_MacKillop_College,,,-27.55351944,153.07786389,,suggested,Derived from Wikipedia/Wikidata page Clairvaux MacKillop College (Q5125395),Clairvaux MacKillop College,47886,data/reference/school_aliases.json,pending,,,,,,,,,,,,,
inst-unmatched-danebank-anglican-girls-school,Danebank Anglican Girls School,Danebank,Q5215861,https://en.wikipedia.org/wiki/Danebank,Australia,New South Wales,-33.9622,151.1025,school,suggested,Derived from Wikipedia/Wikidata page Danebank (Q5215861),Danebank - An Anglican School for Girls,43914,data/reference/school_aliases.json,pending,,,,,,,,,,,,,
