Calendar Year,ACARA SML ID,Location AGE ID,School AGE ID,School Name,Suburb,State,Postcode,School Sector,School Type,Campus Type,Rolled Reporting Description,Latitude,Longitude,ABS Remoteness Area,ABS Remoteness Area Name,Meshblock,Statistical Area 1,Statistical Area 2,Statistical Area 2 Name,Statistical Area 3,Statistical Area 3 Name,Statistical Area 4,Statistical Area 4 Name,Local Government Area,Local Government Area Name,State Electoral Division,State Electoral Division Name,Commonwealth Electoral Division,Commonwealth Electoral Division Name
2022,42689,50438,10438,Albury High School,ALBURY,NSW,2640,Government,Secondary,School Single Entity,Individual Reporting,-36.072846,146.915442,1,Inner Regional,10000210000,10901117428,109011174,Albury - South,10901,Albury,109,Murray,10050,Albury,10001,Albury,114,Farrer
2022,42648,50444,10444,Table Top Public School,TABLE TOP,NSW,2640,Government,Primary,School Single Entity,Individual Reporting,-35.9679407,147.00707889,1,Inner Regional,10000380000,10901117508,109011175,Albury Region,10901,Albury,109,Murray,10050,Albury,10001,Albury,114,Farrer
2022,42654,50440,10440,Albury North Public School,ALBURY,NSW,2640,Government,Primary,School Single Entity,Individual Reporting,-36.064177,146.932402,1,Inner Regional,10003720000,10901117310,109011173,Albury - North,10901,Albury,109,Murray,10050,Albury,10001,Albury,114,Farrer
2022,43599,41573,1573,St Anne's Primary School,NORTH ALBURY,NSW,2640,Catholic,Primary,School Single Entity,Individual Reporting,-36.060324,146.936111,1,Inner Regional,10003730000,10901117308,109011173,Albury - North,10901,Albury,109,Murray,10050,Albury,10001,Albury,114,Farrer
2022,43628,57922,17922,Xavier High School,NORTH ALBURY,NSW,2640,Catholic,Secondary,School Single Entity,Individual Reporting,-36.062669,146.935126,1,Inner Regional,10003730000,10901117308,109011173,Albury - North,10901,Albury,109,Murray,10050,Albury,10001,Albury,114,Farrer
2022,50606,77611,29104,"Aspect Riverina School, North Albury Campus",ALBURY,NSW,2640,Independent,Secondary,School Sub-Campus and Single entity,Rolled Reporting,-36.062984,146.935254,1,Inner Regional,10003730000,10901117308,109011173,Albury - North,10901,Albury,109,Murray,10050,Albury,10001,Albury,114,Farrer
2022,40847,68887,28887,Indie School Albury,ALBURY,NSW,2640,Independent,Secondary,School Head Campus,Rolled Reporting,-36.089672,146.913269,1,Inner Regional,10004081000,10901117407,109011174,Albury - South,10901,Albury,109,Murray,10050,Albury,10001,Albury,114,Farrer
2022,43598,41909,1909,St Patrick's Parish School,ALBURY,NSW,2640,Catholic,Primary,School Single Entity,Individual Reporting,-36.084105,146.916155,1,Inner Regional,10004281000,10901117401,109011174,Albury - South,10901,Albury,109,Murray,10050,Albury,10001,Albury,114,Farrer
2022,50605,77610,29104,"Aspect Riverina School, Kiewa Street Albury Campus",ALBURY,NSW,2640,Independent,Primary,School Sub-Campus and Single entity,Rolled Reporting,-36.083965,146.91583,1,Inner Regional,10004281000,10901117401,109011174,Albury - South,10901,Albury,109,Murray,10050,Albury,10001,Albury,114,Farrer
2022,42531,50441,10441,Albury Public School,ALBURY,NSW,2640,Government,Primary,School Single Entity,Individual Reporting,-36.082454,146.919253,1,Inner Regional,10004461000,10901117401,109011174,Albury - South,10901,Albury,109,Murray,10050,Albury,10001,Albury,114,Farrer
